SVL,Tail,Name_in_Tree,Location,Group,Habitat,Status
90,NA,Antechinomys.laniger,,Marsupial,NA,Extant
94.5,NA,Antechinus.agilis,,Marsupial,NA,Extant
134.5,NA,Antechinus.bellus,,Marsupial,NA,Extant
129,NA,Antechinus.flavipes,,Marsupial,NA,Extant
133,NA,Antechinus.godmani,,Marsupial,NA,Extant
151,NA,Antechinus.leo,,Marsupial,NA,Extant
121.5,NA,Antechinus.minimus,,Marsupial,NA,Extant
94.5,NA,Antechinus.sp.,,Marsupial,NA,Extant
111,NA,Antechinus.stuartii,,Marsupial,NA,Extant
145.5,NA,Antechinus.swainsonii,,Marsupial,NA,Extant
102.5,NA,Dasykaluta.rosamondae,,Marsupial,NA,Extant
160,NA,Dasyuroides.byrnei,,Marsupial,NA,Extant
355,NA,Dasyurus.geoffroii,,Marsupial,NA,Extant
320,NA,Dasyurus.hallucatus,,Marsupial,NA,Extant
569.5,NA,Dasyurus.maculatus,,Marsupial,NA,Extant
385,NA,Dasyurus.viverrinus,,Marsupial,NA,Extant
379,NA,Echymipera.rufescens,,Marsupial,NA,Extant
242.5,NA,Isoodon.auratus,,Marsupial,NA,Extant
385,NA,Isoodon.macrourus,,Marsupial,NA,Extant
330,NA,Isoodon.obesulus,,Marsupial,NA,Extant
425,NA,Macrotis.lagotis,,Marsupial,NA,Extant
66,NA,Ningaui.ridei,,Marsupial,NA,Extant
66,NA,Ningaui.timealeyi,,Marsupial,NA,Extant
64.5,NA,Ningaui.yvonnae,,Marsupial,NA,Extant
145,NA,Parantechinus.apicalis,,Marsupial,NA,Extant
202.5,NA,Perameles.bougainville,,Marsupial,NA,Extant
310,NA,Perameles.gunnii,,Marsupial,NA,Extant
377.5,NA,Perameles.nasuta,,Marsupial,NA,Extant
113.5,NA,Phascogale.calura,,Marsupial,NA,Extant
210.5,NA,Phascogale.tapoatafa,,Marsupial,NA,Extant
70,NA,Planigale.gilesi,,Marsupial,NA,Extant
60.5,NA,Planigale.ingrami,,Marsupial,NA,Extant
70.85,NA,Planigale.maculata,,Marsupial,NA,Extant
62.5,NA,Planigale.tenuirostris,,Marsupial,NA,Extant
102.5,NA,Pseudantechinus.bilarni,,Marsupial,NA,Extant
100,NA,Pseudantechinus.macdonnellensis,,Marsupial,NA,Extant
85,NA,Pseudantechinus.mimulus,,Marsupial,NA,Extant
95,NA,Pseudantechinus.ningbing,,Marsupial,NA,Extant
86.5,NA,Pseudantechinus.roryi,,Marsupial,NA,Extant
107.5,NA,Pseudantechinus.woolleyae,,Marsupial,NA,Extant
652,NA,Sarcophilus.harrisii,,Marsupial,NA,Extant
88.5,NA,Sminthopsis.aitkeni,,Marsupial,NA,Extant
102.5,NA,Sminthopsis.archeri,,Marsupial,NA,Extant
71,NA,Sminthopsis.bindi,,Marsupial,NA,Extant
88,NA,Sminthopsis.butleri,,Marsupial,NA,Extant
75,NA,Sminthopsis.crassicaudata,,Marsupial,NA,Extant
81,NA,Sminthopsis.dolichura,,Marsupial,NA,Extant
132.5,NA,Sminthopsis.douglasi,,Marsupial,NA,Extant
85,NA,Sminthopsis.froggatti,,Marsupial,NA,Extant
86.5,NA,Sminthopsis.gilberti,,Marsupial,NA,Extant
78.5,NA,Sminthopsis.granulipes,,Marsupial,NA,Extant
81,NA,Sminthopsis.griseoventer,,Marsupial,NA,Extant
77.5,NA,Sminthopsis.hirtipes,,Marsupial,NA,Extant
97,NA,Sminthopsis.leucopus,,Marsupial,NA,Extant
90,NA,Sminthopsis.longicaudata,,Marsupial,NA,Extant
85,NA,Sminthopsis.macroura,,Marsupial,NA,Extant
90,NA,Sminthopsis.murina,,Marsupial,NA,Extant
72.5,NA,Sminthopsis.ooldea,,Marsupial,NA,Extant
99.5,NA,Sminthopsis.psammophila,,Marsupial,NA,Extant
115.5,NA,Sminthopsis.virginiae,,Marsupial,NA,Extant
68.5,NA,Sminthopsis.youngsoni,,Marsupial,NA,Extant
1150,NA,Thylacinus.cynocephalus,,Marsupial,NA,Extinct
NA,NA,Aiolosaurus.oriens,Asia,Varanoidea,NA,Extinct
NA,NA,Cherminotus.longifrons,Asia,Varanoidea,NA,Extinct
185,168,Lanthanotus.borneensis,Sundaland,Varanoidea,semiaquatic,Extant
165,460,Necrosaurus.cayluxi,Europe,Varanoidea,semiaquatic,Extinct
NA,NA,Necrosaurus.eucarinatus,Europe,Varanoidea,NA,Extinct
NA,NA,Ovoo.gurvel,Asia,Varanoidea,NA,Extinct
420,890,Saniwa.ensidens,North America,Varanoidea,semiaquatic,Extinct
NA,NA,Saniwa.feisti,Europe,Varanoidea,NA,Extinct
NA,NA,Saniwides.mongoliensis,Asia,Varanoidea,NA,Extinct
NA,NA,Telmasaurus.grangeri,Asia,Varanoidea,NA,Extinct
210,345,Varanus.acanthurus.acanthurus,Australia,Varanoidea,saxicolous,Extant
205,330,Varanus.acanthurus.brachyurus,Australia,Varanoidea,saxicolous,Extant
237,380,Varanus.acanthurus.insulanicus,Australia,Varanoidea,saxicolous,Extant
449.6,610.8,Varanus.albigularis,Africa,Varanoidea,terrestrial,Extant
210,318,Varanus.auffenbergi,Sundaland,Varanoidea,arboreal,Extant
280.8,439.4,Varanus.balagardi,Australia,Varanoidea,arboreal,Extant
171,297,Varanus.baritji,Australia,Varanoidea,saxicolous,Extant
291.8,536.2,Varanus.beccarrii,Sundaland,Varanoidea,arboreal,Extant
376,513.2,Varanus.bengalensis,Africa,Varanoidea,terrestrial,Extant
613,950,Varanus.bitatawa,Philippines,Varanoidea,arboreal,Extant
120,113.8,Varanus.brevicauda,Australia,Varanoidea,terrestrial,Extant
114.5,159.3,Varanus.bushi,Australia,Varanoidea,arboreal,Extant
401,533,Varanus.caspius,Africa Arabia,Varanoidea,terrestrial,Extant
115,135.8,Varanus.caudolineatus,Australia,Varanoidea,arboreal,Extant
576,781,Varanus.cumingi,Sundaland,Varanoidea,semiaquatic,Extant
334.5,556.5,Varanus.doreanus,Australia,Varanoidea,terrestrial,Extant
430.8,631.2,Varanus.douarrha,Papua,Varanoidea,terrestrial,Extant
175.6,306.6,Varanus.eremius,Australia,Varanoidea,terrestrial,Extant
383.8,331.4,Varanus.exanthematicus,Africa,Varanoidea,terrestrial,Extant
334.5,556.5,Varanus.finschi,Sundaland,Varanoidea,terrestrial,Extant
357.2,405.4,Varanus.flavescens,Asia Sundaland,Varanoidea,terrestrial,Extant
788.6,937,Varanus.giganteus,Australia,Varanoidea,terrestrial,Extant
165.4,209.2,Varanus.gilleni,Australia,Varanoidea,arboreal,Extant
235.6,521.6,Varanus.glauerti,Australia,Varanoidea,saxicolous,Extant
361.8,617.6,Varanus.glebopalma,Australia,Varanoidea,saxicolous,Extant
514.2,733.6,Varanus.gouldii,Australia,Varanoidea,terrestrial,Extant
444.4,507.8,Varanus.griseus,Africa Arabia,Varanoidea,terrestrial,Extant
136.6,264.8,Varanus.hamersleyensis,Australia,Varanoidea,saxicolous,Extant
430.8,631.2,Varanus.indicus,Australia,Varanoidea,terrestrial,Extant
392.2,487.8,Varanus.jobiensis,Sundaland Papua,Varanoidea,arboreal,Extant
103,227.8,Varanus.kingorum,Australia,Varanoidea,saxicolous,Extant
1166.2,1059.2,Varanus.komodoensis,Australia,Varanoidea,terrestrial,Extant
454,700,Varanus.marmoratus,Sundaland,Varanoidea,semiaquatic,Extant
508.2,665,Varanus.mertensi,Australia,Varanoidea,semiaquatic,Extant
283,448.2,Varanus.mitchelli,Australia,Varanoidea,semiaquatic,Extant
505.4,758.6,Varanus.niloticus,Africa,Varanoidea,terrestrial,Extant
442,700,Varanus.nuchalis,Sundaland,Varanoidea,semiaquatic,Extant
600,940,Varanus.olivaceus,Philippines,Varanoidea,arboreal,Extant
576,781,Varanus.palawanensis,Philippines,Varanoidea,semiaquatic,Extant
588.6,779.6,Varanus.panoptes,Australia,Varanoidea,terrestrial,Extant
162,298,Varanus.pilbarensis,Australia,Varanoidea,saxicolous,Extant
311.8,549.2,Varanus.prasinus,Australia,Varanoidea,arboreal,Extant
119.6,165.4,Varanus.primordius,Australia,Varanoidea,saxicolous,Extant
2116,2329,Varanus.priscus,Australia,Varanoidea,terrestrial,Extinct
425.2,607.2,Varanus.rosenbergi,Australia,Varanoidea,terrestrial,Extant
411.2,530,Varanus.rudicollis,Sundaland,Varanoidea,arboreal,Extant
567.8,1191,Varanus.salvadorii,Papua,Varanoidea,arboreal,Extant
520.6,766,Varanus.salvator,Sundaland,Varanoidea,semiaquatic,Extant
576,781,Varanus.samarensis,Sundaland,Varanoidea,semiaquatic,Extant
238.6,326.6,Varanus.scalaris.OZ,Australia,Varanoidea,arboreal,Extant
238.6,326.6,Varanus.scalaris.PNG,Papua,Varanoidea,arboreal,Extant
291.6,395.2,Varanus.semiremex,Australia,Varanoidea,semiaquatic,Extant
102,98,Varanus.sparnus,Australia,Varanoidea,terrestrial,Extant
511.6,563.8,Varanus.spenceri,Australia,Varanoidea,terrestrial,Extant
312,550,Varanus.spinulosus,Papua Solomon Islands,Varanoidea,arboreal,Extant
505.4,758.6,Varanus.stellatus,Africa,Varanoidea,terrestrial,Extant
144.2,217.4,Varanus.storri,Australia,Varanoidea,saxicolous,Extant
233.6,328.4,Varanus.timorensis,Sundaland,Varanoidea,arboreal,Extant
520.6,766,Varanus.togianus,Sundaland,Varanoidea,semiaquatic,Extant
280.8,439.4,Varanus.tristis.orientalis,Australia,Varanoidea,arboreal,Extant
280.8,439.4,Varanus.tristis.tristis,Australia,Varanoidea,arboreal,Extant
636.4,825,Varanus.varius,Australia,Varanoidea,terrestrial,Extant
410.7,458,Varanus.yemenensis,Africa,Varanoidea,terrestrial,Extant